trajectory_id,training_step,model_version,game_id,task_type,task_success,env_done,env_lost,env_rounds,full_turns,retained_turns,retained_fraction,frontier_triggered,frontier_turn,baseline_teacher_entropy,crossing_teacher_entropy,suffix_teacher_entropy,last3_post_frontier_entropy,teacher_entropy,student_entropy,sampled_reverse_kl,valid_action_rate,retained_valid_action_rate,dropped_valid_action_rate,prompt_truncated_turns,prompt_truncated,prompt_truncated_retained_turns,response_tokens
train:1:train/pick_and_place_simple-CreditCard-None-Shelf-307/trial_T20190908_141017_721379/game.tw-pddl:0,1,0,train/pick_and_place_simple-CreditCard-None-Shelf-307/trial_T20190908_141017_721379/game.tw-pddl,pick_and_place_simple,True,True,False,4,4,4,1.0,False,,0.5551242091293326,,,,0.5396405528580719,0.6811843191477445,0.6320217210944312,1.0,1.0,,0,False,0,638
train:1:train/look_at_obj_in_light-CD-None-DeskLamp-305/trial_T20190909_132423_909909/game.tw-pddl:0,1,0,train/look_at_obj_in_light-CD-None-DeskLamp-305/trial_T20190909_132423_909909/game.tw-pddl,look_at_obj_in_light,True,True,False,15,15,15,1.0,False,,0.6332084384057706,,,,0.6216084535787215,0.7213890632199081,0.5410691116249412,0.6,0.6,,0,False,0,2169
train:1:train/pick_cool_then_place_in_recep-Tomato-None-DiningTable-11/trial_T20190908_215900_237409/game.tw-pddl:0,1,0,train/pick_cool_then_place_in_recep-Tomato-None-DiningTable-11/trial_T20190908_215900_237409/game.tw-pddl,pick_cool_then_place_in_recep,False,False,False,30,30,11,0.36666666666666664,True,11.0,0.631096373569111,0.9819613634722133,0.20624390563542688,5.110366032567981e-07,0.3863289633683319,0.8425751093721738,0.5657651631737087,0.4,0.9090909090909091,0.10526315789473684,14,True,0,1789
train:1:train/pick_and_place_simple-CD-None-Safe-317/trial_T20190906_180511_344768/game.tw-pddl:0,1,0,train/pick_and_place_simple-CD-None-Safe-317/trial_T20190906_180511_344768/game.tw-pddl,pick_and_place_simple,False,False,False,30,30,30,1.0,False,,0.7213455107393297,,,,0.38174440968130396,0.697942029347034,0.4913730985285202,0.5666666666666667,0.5666666666666667,,11,True,11,2338
train:1:train/pick_two_obj_and_place-Kettle-None-DiningTable-18/trial_T20190906_233756_544999/game.tw-pddl:0,1,0,train/pick_two_obj_and_place-Kettle-None-DiningTable-18/trial_T20190906_233756_544999/game.tw-pddl,pick_two_obj_and_place,False,False,False,30,30,30,1.0,False,,0.5292153858246212,,,,0.2782431511800198,0.6932840188749935,0.459595658209719,0.3,0.3,,16,True,16,1744
train:1:train/pick_heat_then_place_in_recep-Egg-None-CounterTop-12/trial_T20190908_215643_953236/game.tw-pddl:0,1,0,train/pick_heat_then_place_in_recep-Egg-None-CounterTop-12/trial_T20190908_215643_953236/game.tw-pddl,pick_heat_then_place_in_recep,False,False,False,30,30,10,0.3333333333333333,True,10.0,0.42031258987645154,0.6475796225205492,0.15631161170630056,0.0014293389394879341,0.2672635066273768,0.7258700826838584,0.41916783612164626,0.4,0.9,0.15,16,True,0,1945
train:1:train/pick_and_place_simple-SoapBottle-None-Toilet-426/trial_T20190906_180946_873820/game.tw-pddl:0,1,0,train/pick_and_place_simple-SoapBottle-None-Toilet-426/trial_T20190906_180946_873820/game.tw-pddl,pick_and_place_simple,False,False,False,30,30,30,1.0,False,,0.540322168107987,,,,0.2938936762396523,0.600716218787128,0.4708023646786681,0.43333333333333335,0.43333333333333335,,13,True,13,2611
train:1:train/pick_clean_then_place_in_recep-Tomato-None-DiningTable-23/trial_T20190909_000922_271997/game.tw-pddl:0,1,0,train/pick_clean_then_place_in_recep-Tomato-None-DiningTable-23/trial_T20190909_000922_271997/game.tw-pddl,pick_clean_then_place_in_recep,False,False,False,30,30,30,1.0,False,,0.6795515342874151,,,,0.3112135291437995,0.7764488414967545,0.4936655808506237,0.4666666666666667,0.4666666666666667,,16,True,16,2130
train:1:train/pick_two_obj_and_place-Book-None-Bed-328/trial_T20190907_060344_224282/game.tw-pddl:0,1,0,train/pick_two_obj_and_place-Book-None-Bed-328/trial_T20190907_060344_224282/game.tw-pddl,pick_two_obj_and_place,False,False,False,30,30,8,0.26666666666666666,True,8.0,0.3926045755148579,0.9536703713821998,0.45445469109024794,0.03185341879725456,0.459371780515488,0.6816422593864702,0.47459622316177724,0.5,0.5,0.5,8,True,0,2694
train:1:train/pick_two_obj_and_place-KeyChain-None-ArmChair-217/trial_T20190906_213211_993051/game.tw-pddl:0,1,0,train/pick_two_obj_and_place-KeyChain-None-ArmChair-217/trial_T20190906_213211_993051/game.tw-pddl,pick_two_obj_and_place,False,False,False,30,30,30,1.0,False,,0.6934172053154367,,,,0.3710327588233919,0.7212222606442834,0.5019637005782852,0.5666666666666667,0.5666666666666667,,12,True,12,2379
